,potential,step
899,0.125,899
900,0.125,900
901,0.125,901
902,0.125,902
903,0.125,903
904,0.125,904
905,0.125,905
906,0.125,906
907,0.125,907
908,0.125,908
909,0.125,909
910,0.125,910
911,0.125,911
912,0.125,912
913,0.125,913
914,0.125,914
915,0.125,915
916,0.125,916
917,0.125,917
918,0.125,918
919,0.125,919
920,0.125,920
921,0.125,921
922,0.125,922
923,0.125,923
924,0.125,924
925,0.125,925
926,0.125,926
927,0.125,927
928,0.125,928
929,0.125,929
930,0.125,930
931,0.125,931
932,0.125,932
933,0.125,933
934,0.125,934
935,0.125,935
936,0.125,936
937,0.125,937
938,0.125,938
939,0.125,939
940,0.125,940
941,0.125,941
942,0.125,942
943,0.125,943
944,0.125,944
945,0.125,945
946,0.125,946
947,0.125,947
948,0.125,948
949,0.125,949
950,0.125,950
951,0.125,951
952,0.125,952
953,0.125,953
954,0.125,954
955,0.125,955
956,0.125,956
957,0.125,957
958,0.125,958
959,0.125,959
960,0.125,960
961,0.125,961
962,0.125,962
963,0.125,963
964,0.125,964
965,0.125,965
966,0.125,966
967,0.125,967
968,0.125,968
969,0.125,969
970,0.125,970
971,0.125,971
972,0.125,972
973,0.125,973
974,0.125,974
975,0.125,975
976,0.125,976
977,0.125,977
978,0.125,978
979,0.125,979
980,0.125,980
981,0.125,981
982,0.125,982
983,0.125,983
984,0.125,984
985,0.125,985
986,0.125,986
987,0.125,987
988,0.125,988
989,0.125,989
990,0.125,990
991,0.125,991
992,0.125,992
993,0.125,993
994,0.125,994
995,0.125,995
996,0.125,996
997,0.125,997
998,0.125,998
999,0.125,999
1000,0.125,1000
1001,0.125,1001
1002,0.125,1002
1003,0.125,1003
1004,0.125,1004
1005,0.125,1005
1006,0.125,1006
1007,0.125,1007
1008,0.125,1008
1009,0.125,1009
1010,0.125,1010
1011,0.125,1011
1012,0.125,1012
1013,0.125,1013
1014,0.125,1014
1015,0.125,1015
1016,0.125,1016
1017,0.125,1017
1018,0.125,1018
1019,0.125,1019
1020,0.125,1020
1021,0.125,1021
1022,0.125,1022
1023,0.125,1023
1024,0.125,1024
1025,0.125,1025
1026,0.125,1026
1027,0.125,1027
1028,0.125,1028
1029,0.125,1029
1030,0.125,1030
1031,0.125,1031
1032,0.125,1032
1033,0.125,1033
1034,0.125,1034
1035,0.125,1035
1036,0.125,1036
1037,0.125,1037
1038,0.125,1038
1039,0.125,1039
1040,0.125,1040
1041,0.125,1041
1042,0.125,1042
1043,0.125,1043
1044,0.125,1044
1045,0.125,1045
1046,0.125,1046
1047,0.125,1047
1048,0.125,1048
1049,0.125,1049
1050,0.125,1050
1051,0.125,1051
1052,0.125,1052
1053,0.125,1053
1054,0.125,1054
1055,0.125,1055
1056,0.125,1056
1057,0.125,1057
1058,0.125,1058
1059,0.125,1059
1060,0.125,1060
1061,0.125,1061
1062,0.125,1062
1063,0.125,1063
1064,0.125,1064
1065,0.125,1065
1066,0.125,1066
1067,0.125,1067
1068,0.125,1068
1069,0.125,1069
1070,0.125,1070
1071,0.125,1071
1072,0.125,1072
1073,0.125,1073
1074,0.125,1074
1075,0.125,1075
1076,0.125,1076
1077,0.125,1077
1078,0.125,1078
1079,0.125,1079
1080,0.125,1080
1081,0.125,1081
1082,0.125,1082
1083,0.125,1083
1084,0.125,1084
1085,0.125,1085
1086,0.125,1086
1087,0.125,1087
1088,0.125,1088
1089,0.125,1089
1090,0.125,1090
1091,0.125,1091
1092,0.125,1092
1093,0.125,1093
1094,0.125,1094
1095,0.125,1095
1096,0.125,1096
1097,0.125,1097
1098,0.125,1098
1099,0.125,1099
1100,0.125,1100
1101,0.125,1101
1102,0.125,1102
1103,0.125,1103
1104,0.125,1104
1105,0.125,1105
1106,0.125,1106
1107,0.125,1107
1108,0.125,1108
1109,0.125,1109
1110,0.125,1110
1111,0.125,1111
1112,0.125,1112
1113,0.125,1113
1114,0.125,1114
1115,0.125,1115
1116,0.125,1116
1117,0.125,1117
1118,0.125,1118
1119,0.125,1119
1120,0.125,1120
1121,0.125,1121
1122,0.125,1122
1123,0.125,1123
1124,0.125,1124
1125,0.125,1125
1126,0.125,1126
1127,0.125,1127
1128,0.125,1128
1129,0.125,1129
1130,0.125,1130
1131,0.125,1131
1132,0.125,1132
1133,0.125,1133
1134,0.125,1134
1135,0.125,1135
1136,0.125,1136
1137,0.125,1137
1138,0.125,1138
1139,0.125,1139
1140,0.125,1140
1141,0.125,1141
1142,0.125,1142
1143,0.125,1143
1144,0.125,1144
1145,0.125,1145
1146,0.125,1146
1147,0.125,1147
1148,0.125,1148
1149,0.125,1149
1150,0.125,1150
1151,0.125,1151
1152,0.125,1152
1153,0.125,1153
1154,0.125,1154
1155,0.125,1155
1156,0.125,1156
1157,0.125,1157
1158,0.125,1158
1159,0.125,1159
1160,0.125,1160
1161,0.125,1161
1162,0.125,1162
1163,0.125,1163
1164,0.125,1164
1165,0.125,1165
1166,0.125,1166
1167,0.125,1167
1168,0.125,1168
1169,0.125,1169
1170,0.125,1170
1171,0.125,1171
1172,0.125,1172
1173,0.125,1173
1174,0.125,1174
1175,0.125,1175
1176,0.125,1176
1177,0.125,1177
1178,0.125,1178
1179,0.125,1179
1180,0.125,1180
1181,0.125,1181
1182,0.125,1182
1183,0.125,1183
1184,0.125,1184
1185,0.125,1185
1186,0.125,1186
1187,0.125,1187
1188,0.125,1188
1189,0.125,1189
1190,0.125,1190
1191,0.125,1191
1192,0.125,1192
1193,0.125,1193
1194,0.125,1194
1195,0.125,1195
1196,0.125,1196
1197,0.125,1197
1198,0.125,1198
1199,0.125,1199
1200,0.125,1200
1201,0.125,1201
1202,0.125,1202
1203,0.125,1203
1204,0.125,1204
1205,0.125,1205
1206,0.125,1206
1207,0.125,1207
1208,0.125,1208
1209,0.125,1209
1210,0.125,1210
1211,0.125,1211
1212,0.125,1212
1213,0.125,1213
1214,0.125,1214
1215,0.125,1215
1216,0.125,1216
1217,0.125,1217
1218,0.125,1218
1219,0.125,1219
1220,0.125,1220
1221,0.125,1221
1222,0.125,1222
1223,0.125,1223
1224,0.125,1224
1225,0.125,1225
1226,0.125,1226
1227,0.125,1227
1228,0.125,1228
1229,0.125,1229
1230,0.125,1230
1231,0.125,1231
1232,0.125,1232
1233,0.125,1233
1234,0.125,1234
1235,0.125,1235
1236,0.125,1236
1237,0.125,1237
1238,0.125,1238
1239,0.125,1239
1240,0.125,1240
1241,0.125,1241
1242,0.125,1242
1243,0.125,1243
1244,0.125,1244
1245,0.125,1245
1246,0.125,1246
1247,0.125,1247
1248,0.125,1248
1249,0.125,1249
1250,0.125,1250
1251,0.125,1251
1252,0.125,1252
1253,0.125,1253
1254,0.125,1254
1255,0.125,1255
1256,0.125,1256
1257,0.125,1257
1258,0.125,1258
1259,0.125,1259
1260,0.125,1260
1261,0.125,1261
1262,0.125,1262
1263,0.125,1263
1264,0.125,1264
1265,0.125,1265
1266,0.125,1266
1267,0.125,1267
1268,0.125,1268
1269,0.09375,1269
1270,0.09375,1270
1271,0.09375,1271
1272,0.09375,1272
1273,0.09375,1273
1274,0.09375,1274
1275,0.09375,1275
1276,0.09375,1276
1277,0.09375,1277
1278,0.09375,1278
1279,0.09375,1279
1280,0.09375,1280
1281,0.09375,1281
1282,0.09375,1282
1283,0.09375,1283
1284,0.09375,1284
1285,0.09375,1285
1286,0.09375,1286
1287,0.09375,1287
1288,0.09375,1288
1289,0.09375,1289
1290,0.09375,1290
1291,0.09375,1291
