,Unnamed: 0,potential,iteration,switch_ratio,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,init_temperatures
150,150,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
151,151,0.0,3221,0.64,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
152,152,0.0,683,0.136,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
153,153,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
154,154,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
155,155,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
156,156,0.0,79,0.008,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
157,157,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
158,158,0.0,1397,0.272,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
159,159,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
160,160,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
161,161,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
162,162,0.0,1659,0.328,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
163,163,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
164,164,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
165,165,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
166,166,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
167,167,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
168,168,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
169,169,0.0,4292,0.856,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
170,170,0.5,5000,1.0,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
171,171,0.0,1841,0.368,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
172,172,0.0,3429,0.68,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
173,173,0.0,2798,0.552,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
174,174,0.0,3536,0.704,5000,40,['const'],15,5,0.06,8,"['gaussian', 1]","[0.01, 21.43714285714286, 42.864285714285714, 64.29142857142858, 85.71857142857144, 107.14571428571429, 128.57285714285715, 150.0]"
